ano,meses,dia,fechamentoibov,aberturaibov,maxibov,minibov,volibov,aberturausd,maxusd,minusd,fechamentousd,volusd
2010,11,9,71679.000000,72654.000000,73045.000000,71651.000000,1505000,1.650300,1.699400,1.650300,1.696000,0
2010,11,10,71638.000000,71674.000000,71854.000000,70868.000000,0,1.650700,1.713800,1.650700,1.696000,0
2010,11,11,71195.000000,71639.000000,71639.000000,70941.000000,1353200,1.657600,1.719000,1.657600,1.710000,0
2010,11,12,70367.000000,71191.000000,71191.000000,70004.000000,1188600,1.665800,1.720600,1.665800,1.721500,0
2010,11,16,69192.000000,70364.000000,70364.000000,68662.000000,2240800,1.671900,1.729900,1.671900,1.720000,0
2010,11,17,69709.000000,69189.000000,70080.000000,69187.000000,0,1.690300,1.738500,1.690300,1.736000,0
2010,11,18,70781.000000,69716.000000,70904.000000,69716.000000,1881600,1.674800,1.724900,1.674800,1.726200,0
2010,11,19,70898.000000,70774.000000,70898.000000,70236.000000,1506400,1.660900,1.718300,1.660900,1.711000,0
2010,11,22,69633.000000,70898.000000,70898.000000,69202.000000,1739200,1.665500,1.718400,1.665400,1.673000,0
2010,11,23,67953.000000,69629.000000,69629.000000,67728.000000,2080600,1.673100,1.733700,1.673100,1.720800,0
2010,11,24,69629.000000,67955.000000,69746.000000,67955.000000,1990600,1.685100,1.732700,1.685100,1.733500,0
2010,11,25,69362.000000,69634.000000,69780.000000,69362.000000,981600,1.671600,1.722100,1.671600,1.722000,0
2010,11,26,68226.000000,69349.000000,69349.000000,68219.000000,1564800,1.671100,1.734700,1.671100,1.715500,0
2010,11,29,67908.000000,68218.000000,68422.000000,67103.000000,1777800,1.676900,1.731000,1.676900,1.729600,0
2010,11,30,67705.000000,67901.000000,68476.000000,67271.000000,2159200,1.668300,1.723500,1.668300,1.717000,0
2010,12,1,69346.000000,67731.000000,69605.000000,67731.000000,0,1.663900,1.712100,1.663900,1.714500,0
2010,12,2,69527.000000,69341.000000,69943.000000,69219.000000,2111800,1.655300,1.704300,1.655300,1.705900,0
2010,12,3,69766.000000,69529.000000,69963.000000,68943.000000,2828000,1.646000,1.698000,1.646000,1.701500,0
2010,12,6,69552.000000,69759.000000,69932.000000,69378.000000,0,1.634700,1.688200,1.634700,1.636100,0
2010,12,7,69338.000000,69563.000000,70589.000000,69338.000000,0,1.624900,1.677700,1.624900,1.681300,0
2010,12,8,68175.000000,69338.000000,69354.000000,68046.000000,2671600,1.632000,1.690100,1.632000,1.677000,0
2010,12,9,67879.000000,68173.000000,68561.000000,67563.000000,2447200,1.639800,1.702100,1.639800,1.692000,0
2010,12,10,68342.000000,67889.000000,68514.000000,67866.000000,0,1.659400,1.717000,1.659400,1.703600,0
2010,12,13,69126.000000,68342.000000,69221.000000,68342.000000,0,1.656700,1.706600,1.656700,1.705000,0
2010,12,14,68743.000000,69127.000000,69127.000000,68531.000000,0,1.643500,1.696900,1.643500,1.693000,0
2010,12,15,67870.000000,68741.000000,68741.000000,67711.000000,2962400,1.647100,1.699400,1.647100,1.693000,0
2010,12,16,67306.000000,67875.000000,68377.000000,67138.000000,2401400,1.659600,1.708200,1.659600,1.698900,0
2010,12,17,67981.000000,67304.000000,67981.000000,66948.000000,0,1.653100,1.711700,1.653100,1.704300,0
